iter	MultiClass
0	1.002490019
1	0.9197668631
2	0.8473007908
3	0.7833167194
4	0.726093326
5	0.6756003048
6	0.6292021232
7	0.587239916
8	0.5490236004
9	0.5142723147
10	0.4821947819
11	0.4524153223
12	0.425205934
13	0.3999867136
14	0.3764200086
15	0.3545377225
16	0.3343188966
17	0.3157808533
18	0.2983135748
19	0.2817395376
20	0.2662881308
21	0.2520034552
22	0.2384944815
23	0.2258706168
24	0.2139167102
25	0.2026572722
26	0.1922757413
27	0.1823484108
28	0.1730072318
29	0.1642116246
30	0.1558554247
31	0.1479612276
32	0.1405819294
33	0.133564235
34	0.1269397259
35	0.1207011671
36	0.1148441092
37	0.1092365054
38	0.10393574
39	0.09896688126
40	0.09424843979
41	0.08968037912
42	0.0854292388
43	0.08141128219
44	0.07756272971
45	0.07393595467
46	0.07048870906
47	0.06729105639
48	0.06419519699
49	0.06126355414
50	0.05848355516
51	0.05582041418
52	0.05327999504
53	0.05088438705
54	0.0486183509
55	0.04645490757
56	0.04444134322
57	0.04250823499
58	0.04065040317
59	0.03891571227
60	0.03722051258
61	0.03562811269
62	0.03415418099
63	0.03274202859
64	0.03136996747
65	0.03006342112
66	0.02878582282
67	0.0276445646
68	0.02649031788
69	0.02540558077
70	0.02438754708
71	0.02339938856
72	0.02251061253
73	0.02163484583
74	0.02080989112
75	0.02004125225
76	0.01926032036
77	0.01860158662
78	0.01793044333
79	0.01725234898
80	0.01662966713
81	0.01602785567
82	0.01545513774
83	0.01490402037
84	0.01438340229
85	0.01387973111
86	0.01341327065
87	0.01295762519
88	0.01253046166
89	0.01210764343
90	0.01173461385
91	0.01137054032
92	0.01103629021
93	0.01067174676
94	0.01036914045
95	0.01006725876
96	0.009817357306
97	0.00957260753
98	0.009331238753
99	0.0090999377
100	0.008873297376
101	0.008633565541
102	0.00843203422
103	0.008205707427
104	0.008020680025
105	0.007840994879
106	0.007697042733
107	0.007524610522
108	0.007369328917
109	0.007224544376
110	0.007073747381
111	0.006960805552
112	0.006854404539
113	0.006701481964
114	0.006609590299
115	0.006488122496
116	0.006383278347
117	0.006263680716
118	0.006155410458
119	0.006054334556
120	0.005984904998
121	0.005917123597
122	0.005817068875
123	0.005741161528
124	0.005667408122
125	0.005600594272
126	0.00551677913
127	0.005439405033
128	0.005369351668
129	0.005293904736
130	0.005224879224
131	0.005160160388
132	0.005108360814
133	0.005041200926
134	0.004980630201
135	0.004925960601
136	0.004869741282
137	0.004822503107
138	0.004769996047
139	0.004726754666
140	0.00467806593
141	0.004625160581
142	0.004571454387
143	0.004531402952
144	0.004471635091
145	0.004442313774
146	0.004390247976
147	0.004354832955
148	0.004329765391
149	0.004289060479
150	0.004250058914
151	0.004223317462
152	0.004200374327
153	0.004175354466
154	0.00413592753
155	0.00409842857
156	0.004079292536
157	0.004048074016
158	0.004022590289
159	0.003997479646
160	0.003960681173
161	0.003936231138
162	0.003906223356
163	0.003888531518
164	0.003855890099
165	0.003836221441
166	0.003799751958
167	0.003786298637
168	0.003765882876
169	0.003746385518
170	0.003723144533
171	0.003696423217
172	0.003681528097
173	0.003659083838
174	0.00363387306
175	0.003616945002
176	0.003597940418
177	0.003570549803
178	0.003543260339
179	0.003528855396
180	0.003517960151
181	0.003484692622
182	0.003456897473
183	0.003445672118
184	0.00343134543
185	0.003406163875
186	0.003385082562
187	0.003356958862
188	0.003340385196
189	0.003325084009
190	0.003304346939
191	0.003287818857
192	0.003274042259
193	0.00325354746
194	0.003240337056
195	0.003227068232
196	0.003211726205
197	0.003196612979
198	0.003185576298
199	0.003176022792
