iter	Passed	Remaining
0	13	2756
1	26	2632
2	39	2584
3	53	2627
4	68	2683
5	84	2736
6	99	2738
7	113	2724
8	127	2703
9	141	2688
10	156	2693
11	167	2626
12	181	2616
13	196	2615
14	210	2600
15	225	2592
16	240	2587
17	254	2574
18	268	2558
19	282	2545
20	297	2539
21	312	2525
22	325	2503
23	334	2455
24	348	2440
25	362	2426
26	376	2413
27	390	2396
28	404	2386
29	421	2390
30	437	2384
31	451	2372
32	467	2364
33	481	2352
34	496	2339
35	510	2325
36	523	2308
37	537	2291
38	551	2276
39	566	2264
40	582	2257
41	596	2244
42	610	2229
43	624	2212
44	637	2196
45	651	2181
46	665	2165
47	680	2156
48	696	2147
49	711	2135
50	725	2120
51	739	2104
52	753	2089
53	768	2076
54	782	2063
55	796	2049
56	811	2036
57	827	2026
58	843	2014
59	857	2001
60	871	1986
61	885	1970
62	899	1956
63	913	1940
64	928	1927
65	943	1914
66	957	1901
67	972	1887
68	987	1874
69	1001	1859
70	1012	1840
71	1025	1823
72	1039	1808
73	1053	1793
74	1066	1777
75	1079	1762
76	1093	1746
77	1106	1731
78	1120	1716
79	1134	1701
80	1147	1685
81	1161	1671
82	1174	1655
83	1188	1641
84	1203	1628
85	1218	1615
86	1233	1602
87	1248	1589
88	1262	1575
89	1277	1561
90	1290	1545
91	1305	1532
92	1321	1519
93	1335	1505
94	1349	1491
95	1362	1476
96	1377	1462
97	1391	1448
98	1405	1434
99	1420	1420
100	1434	1405
101	1448	1392
102	1463	1378
103	1477	1363
104	1491	1349
105	1506	1335
106	1520	1321
107	1534	1307
108	1547	1292
109	1561	1277
110	1576	1264
111	1591	1250
112	1606	1236
113	1621	1223
114	1636	1209
115	1650	1194
116	1664	1180
117	1677	1165
118	1691	1151
119	1705	1136
120	1719	1122
121	1732	1107
122	1746	1093
123	1760	1078
124	1773	1064
125	1787	1050
126	1801	1035
127	1815	1021
128	1830	1007
129	1846	994
130	1861	980
131	1875	966
132	1889	951
133	1903	937
134	1917	923
135	1930	908
136	1943	893
137	1957	879
138	1971	865
139	1985	850
140	1999	836
141	2013	822
142	2028	808
143	2042	794
144	2058	780
145	2073	766
146	2088	752
147	2101	738
148	2115	724
149	2129	709
150	2153	698
151	2202	695
152	2226	683
153	2241	669
154	2257	655
155	2273	641
156	2288	626
157	2302	612
158	2316	597
159	2330	582
160	2344	567
161	2359	553
162	2373	538
163	2388	524
164	2402	509
165	2416	494
166	2430	480
167	2444	465
168	2458	451
169	2474	436
170	2489	422
171	2504	407
172	2518	393
173	2533	378
174	2547	363
175	2561	349
176	2575	334
177	2589	320
178	2603	305
179	2617	290
180	2631	276
181	2645	261
182	2659	247
183	2674	232
184	2689	218
185	2703	203
186	2718	188
187	2733	174
188	2747	159
189	2763	145
190	2777	130
191	2792	116
192	2806	101
193	2819	87
194	2833	72
195	2847	58
196	2862	43
197	2876	29
198	2890	14
199	2905	0
